,Made Donation in March 2007
7.330000000000000000e+02,1.110277548432350159e-01
5.370000000000000000e+02,6.154664754867553711e-01
1.810000000000000000e+02,1.256844401359558105e-01
4.530000000000000000e+02,7.084553241729736328e-01
6.700000000000000000e+01,4.850038886070251465e-01
1.610000000000000000e+02,3.156878650188446045e-01
3.070000000000000000e+02,2.702307105064392090e-01
7.030000000000000000e+02,1.272027492523193359e-01
1.810000000000000000e+02,1.256844401359558105e-01
2.460000000000000000e+02,1.140521913766860962e-01
3.160000000000000000e+02,4.649358093738555908e-01
2.780000000000000000e+02,1.078701913356781006e-01
3.460000000000000000e+02,1.493686586618423462e-01
5.450000000000000000e+02,1.523992270231246948e-01
4.190000000000000000e+02,2.036342471837997437e-01
6.940000000000000000e+02,2.045631706714630127e-01
6.220000000000000000e+02,1.078701913356781006e-01
6.630000000000000000e+02,7.230830192565917969e-02
2.620000000000000000e+02,6.957340836524963379e-01
4.610000000000000000e+02,1.329633891582489014e-01
3.730000000000000000e+02,7.701981067657470703e-01
2.330000000000000000e+02,1.523992270231246948e-01
4.660000000000000000e+02,2.162660956382751465e-01
2.070000000000000000e+02,1.298909634351730347e-01
2.630000000000000000e+02,1.523992270231246948e-01
1.600000000000000000e+01,7.841067016124725342e-02
5.130000000000000000e+02,8.261499553918838501e-02
4.490000000000000000e+02,3.637191653251647949e-01
4.290000000000000000e+02,6.979401409626007080e-02
7.010000000000000000e+02,1.790676265954971313e-01
6.320000000000000000e+02,7.606187462806701660e-02
5.290000000000000000e+02,6.605262160301208496e-01
2.450000000000000000e+02,3.032242059707641602e-01
3.440000000000000000e+02,1.272044479846954346e-01
3.530000000000000000e+02,1.155989393591880798e-01
2.410000000000000000e+02,1.753503829240798950e-01
6.330000000000000000e+02,9.372244775295257568e-02
6.240000000000000000e+02,1.790676265954971313e-01
7.260000000000000000e+02,5.160775184631347656e-01
1.890000000000000000e+02,1.078701913356781006e-01
1.380000000000000000e+02,1.492222845554351807e-01
4.020000000000000000e+02,9.977326542139053345e-02
5.110000000000000000e+02,5.516393184661865234e-01
5.900000000000000000e+02,5.452504754066467285e-01
3.340000000000000000e+02,1.184731870889663696e-01
4.470000000000000000e+02,8.161751180887222290e-02
1.190000000000000000e+02,2.162660956382751465e-01
3.890000000000000000e+02,1.792890429496765137e-01
6.440000000000000000e+02,1.523992270231246948e-01
4.230000000000000000e+02,3.008948266506195068e-01
1.310000000000000000e+02,7.841067016124725342e-02
4.050000000000000000e+02,6.315797567367553711e-02
8.200000000000000000e+01,1.523992270231246948e-01
6.430000000000000000e+02,7.635899186134338379e-01
1.560000000000000000e+02,9.216078370809555054e-02
6.170000000000000000e+02,8.325728774070739746e-02
5.740000000000000000e+02,3.258342742919921875e-01
2.720000000000000000e+02,1.422143876552581787e-01
6.130000000000000000e+02,8.041773736476898193e-02
5.450000000000000000e+02,1.523992270231246948e-01
6.850000000000000000e+02,9.977326542139053345e-02
5.700000000000000000e+02,1.563105434179306030e-01
5.370000000000000000e+02,6.154664754867553711e-01
6.910000000000000000e+02,9.372244775295257568e-02
8.500000000000000000e+01,3.778074085712432861e-01
4.830000000000000000e+02,1.140521913766860962e-01
4.550000000000000000e+02,1.081525012850761414e-01
9.300000000000000000e+01,1.078701913356781006e-01
7.440000000000000000e+02,1.790676265954971313e-01
3.300000000000000000e+01,1.140521913766860962e-01
3.210000000000000000e+02,6.860477924346923828e-01
5.230000000000000000e+02,1.719934195280075073e-01
4.260000000000000000e+02,1.050929352641105652e-01
1.960000000000000000e+02,9.485109150409698486e-02
3.010000000000000000e+02,1.118608713150024414e-01
1.030000000000000000e+02,9.372244775295257568e-02
2.240000000000000000e+02,8.728698641061782837e-02
4.540000000000000000e+02,1.079970002174377441e-01
5.850000000000000000e+02,8.105991780757904053e-02
1.540000000000000000e+02,2.770492732524871826e-01
