,Made Donation in March 2007
8.031929233932617596e-01,8.128364384174346924e-02
-5.377290542960969782e-02,8.816962689161300659e-02
1.415311372552455760e+00,8.247040957212448120e-02
-2.986202850932872521e-01,3.694537878036499023e-01
-6.658913545888036634e-01,1.274468451738357544e-01
1.910744742340678703e-01,1.072323769330978394e-01
8.031929233932617596e-01,8.455531299114227295e-02
3.496514099693714961e+00,7.939321547746658325e-02
-6.658913545888036634e-01,1.274468451738357544e-01
1.660158752216133182e+00,7.964704185724258423e-02
1.910744742340678703e-01,9.359890222549438477e-02
5.583455437295842261e-01,8.453551679849624634e-02
-6.658913545888036634e-01,2.677844464778900146e-01
8.031929233932617596e-01,8.313095569610595703e-02
-6.658913545888036634e-01,5.063356757164001465e-01
3.496514099693714961e+00,7.939321547746658325e-02
1.910744742340678703e-01,2.170110046863555908e-01
-9.107387342524811968e-01,1.957899034023284912e-01
-9.107387342524811968e-01,2.081650197505950928e-01
-9.107387342524811968e-01,6.677400469779968262e-01
1.415311372552455760e+00,7.974500209093093872e-02
1.910744742340678703e-01,8.775086700916290283e-02
8.031929233932617596e-01,8.134765923023223877e-02
1.415311372552455760e+00,8.247040957212448120e-02
-9.107387342524811968e-01,3.777215480804443359e-01
-6.658913545888036634e-01,1.274468451738357544e-01
-6.658913545888036634e-01,1.057873517274856567e-01
5.583455437295842261e-01,8.403712511062622070e-02
8.031929233932617596e-01,8.209421485662460327e-02
8.031929233932617596e-01,1.012159138917922974e-01
1.910744742340678703e-01,1.954203695058822632e-01
-6.658913545888036634e-01,4.670683741569519043e-01
1.910744742340678703e-01,1.444141566753387451e-01
1.660158752216133182e+00,8.005269616842269897e-02
-6.658913545888036634e-01,1.717398464679718018e-01
-9.107387342524811968e-01,1.489129811525344849e-01
1.910744742340678703e-01,9.371215850114822388e-02
1.415311372552455760e+00,7.991234213113784790e-02
-2.986202850932872521e-01,2.196621149778366089e-01
1.910744742340678703e-01,9.113772213459014893e-02
-9.107387342524811968e-01,4.372162818908691406e-01
6.807692335614230483e-01,8.954271674156188965e-02
-9.107387342524811968e-01,6.459344029426574707e-01
-6.658913545888036634e-01,1.274468451738357544e-01
8.031929233932617596e-01,8.295779675245285034e-02
-5.377290542960969782e-02,1.008688062429428101e-01
-6.658913545888036634e-01,1.274468451738357544e-01
1.660158752216133182e+00,7.958310097455978394e-02
-6.658913545888036634e-01,6.330610513687133789e-01
1.910744742340678703e-01,2.170110046863555908e-01
1.660158752216133182e+00,7.958306372165679932e-02
1.660158752216133182e+00,7.957838475704193115e-02
-6.658913545888036634e-01,6.111487150192260742e-01
-6.658913545888036634e-01,7.047103047370910645e-01
-9.107387342524811968e-01,1.766315549612045288e-01
1.910744742340678703e-01,9.371215850114822388e-02
-6.658913545888036634e-01,6.530435085296630859e-01
1.910744742340678703e-01,9.627149254083633423e-02
-1.155586113916158730e+00,7.455570101737976074e-01
-9.107387342524811968e-01,6.267384886741638184e-01
-9.107387342524811968e-01,5.325302481651306152e-01
-6.658913545888036634e-01,3.400669991970062256e-01
1.910744742340678703e-01,9.281350672245025635e-02
1.910744742340678703e-01,9.627149254083633423e-02
5.583455437295842261e-01,8.455232530832290649e-02
-7.883150444206423746e-01,4.816483855247497559e-01
1.910744742340678703e-01,8.775086700916290283e-02
1.910744742340678703e-01,9.939324855804443359e-02
-6.658913545888036634e-01,1.274468451738357544e-01
-6.658913545888036634e-01,2.594441473484039307e-01
-6.658913545888036634e-01,1.717398464679718018e-01
1.910744742340678703e-01,8.775086700916290283e-02
1.910744742340678703e-01,8.151964843273162842e-02
-9.107387342524811968e-01,7.232819199562072754e-01
-9.107387342524811968e-01,2.062549889087677002e-01
-9.107387342524811968e-01,7.467535138130187988e-01
-6.658913545888036634e-01,1.274468451738357544e-01
-9.107387342524811968e-01,1.957899034023284912e-01
-9.107387342524811968e-01,1.656672507524490356e-01
-6.658913545888036634e-01,1.274468451738357544e-01
1.660158752216133182e+00,7.957838475704193115e-02
1.660158752216133182e+00,7.968371361494064331e-02
-6.658913545888036634e-01,3.979808688163757324e-01
1.660158752216133182e+00,7.951229065656661987e-02
-9.107387342524811968e-01,1.489129811525344849e-01
1.415311372552455760e+00,7.967090606689453125e-02
-9.107387342524811968e-01,6.880844235420227051e-01
1.910744742340678703e-01,2.100967913866043091e-01
8.031929233932617596e-01,8.608604967594146729e-02
8.031929233932617596e-01,8.318798243999481201e-02
-1.761965952614484854e-01,1.958610713481903076e-01
8.031929233932617596e-01,8.115259557962417603e-02
-9.107387342524811968e-01,1.489129811525344849e-01
-5.434676647569648411e-01,5.504214763641357422e-01
1.910744742340678703e-01,8.775086700916290283e-02
3.134981640659066371e-01,1.183678284287452698e-01
5.583455437295842261e-01,8.272541314363479614e-02
-6.658913545888036634e-01,5.789889693260192871e-01
-5.377290542960969782e-02,4.609445333480834961e-01
-9.107387342524811968e-01,1.540640294551849365e-01
8.031929233932617596e-01,8.074288070201873779e-02
-9.107387342524811968e-01,1.957899034023284912e-01
-6.658913545888036634e-01,3.081349432468414307e-01
-6.658913545888036634e-01,1.274468451738357544e-01
-7.883150444206423746e-01,3.340612947940826416e-01
1.660158752216133182e+00,7.957838475704193115e-02
3.741361479357392383e+00,7.939239591360092163e-02
-6.658913545888036634e-01,1.274468451738357544e-01
-9.107387342524811968e-01,7.309502959251403809e-01
-6.658913545888036634e-01,1.057873517274856567e-01
1.415311372552455760e+00,7.986380904912948608e-02
-9.107387342524811968e-01,3.014120459556579590e-01
-9.107387342524811968e-01,2.315478920936584473e-01
1.910744742340678703e-01,8.284498751163482666e-02
-6.658913545888036634e-01,1.274468451738357544e-01
5.583455437295842261e-01,8.272541314363479614e-02
1.910744742340678703e-01,1.099449843168258667e-01
-6.658913545888036634e-01,6.530435085296630859e-01
8.031929233932617596e-01,8.115259557962417603e-02
-6.658913545888036634e-01,5.166679620742797852e-01
5.583455437295842261e-01,8.455232530832290649e-02
5.583455437295842261e-01,8.453551679849624634e-02
1.910744742340678703e-01,8.775086700916290283e-02
-9.107387342524811968e-01,1.489129811525344849e-01
5.583455437295842261e-01,8.455232530832290649e-02
-6.658913545888036634e-01,6.962113976478576660e-01
-4.210439749251260189e-01,1.569820642471313477e-01
8.031929233932617596e-01,8.209421485662460327e-02
5.583455437295842261e-01,8.258139342069625854e-02
1.910744742340678703e-01,9.359890222549438477e-02
8.031929233932617596e-01,8.115259557962417603e-02
1.415311372552455760e+00,7.989428937435150146e-02
1.660158752216133182e+00,8.059423416852951050e-02
1.660158752216133182e+00,7.963204383850097656e-02
-6.658913545888036634e-01,4.352765679359436035e-01
