,Made Donation in March 2007
1.380000000000000000e+02,1.586047559976577759e-01
7.450000000000000000e+02,3.367863297462463379e-01
6.400000000000000000e+01,4.690850153565406799e-02
6.880000000000000000e+02,5.217143893241882324e-02
6.230000000000000000e+02,4.671173915266990662e-02
2.890000000000000000e+02,1.076640561223030090e-01
1.740000000000000000e+02,3.681741654872894287e-01
6.900000000000000000e+02,1.167601272463798523e-01
1.050000000000000000e+02,1.168483942747116089e-01
4.270000000000000000e+02,9.310373663902282715e-02
4.800000000000000000e+01,2.489092759788036346e-02
1.400000000000000000e+01,1.167601272463798523e-01
6.570000000000000000e+02,4.556253924965858459e-02
3.010000000000000000e+02,9.490652382373809814e-02
4.550000000000000000e+02,6.853910535573959351e-02
5.790000000000000000e+02,1.865252703428268433e-01
7.220000000000000000e+02,7.706917822360992432e-02
9.800000000000000000e+01,5.616483688354492188e-01
4.910000000000000000e+02,2.489092759788036346e-02
3.030000000000000000e+02,3.484721183776855469e-01
4.660000000000000000e+02,1.919594556093215942e-01
6.500000000000000000e+01,2.503581345081329346e-01
3.000000000000000000e+02,5.841425061225891113e-01
9.000000000000000000e+00,4.168090224266052246e-02
6.220000000000000000e+02,6.215759366750717163e-02
3.230000000000000000e+02,5.309910327196121216e-02
2.890000000000000000e+02,1.076640561223030090e-01
5.680000000000000000e+02,3.386656343936920166e-01
2.900000000000000000e+02,1.167601272463798523e-01
1.560000000000000000e+02,4.198725149035453796e-02
4.640000000000000000e+02,6.471561640501022339e-02
4.260000000000000000e+02,6.333164125680923462e-02
3.060000000000000000e+02,1.732795983552932739e-01
4.000000000000000000e+00,2.981381118297576904e-01
1.200000000000000000e+01,4.657297134399414062e-01
1.870000000000000000e+02,1.870394647121429443e-01
4.060000000000000000e+02,8.019001781940460205e-02
9.600000000000000000e+01,1.926491111516952515e-01
5.090000000000000000e+02,1.554584056138992310e-01
7.330000000000000000e+02,8.638079464435577393e-02
5.480000000000000000e+02,5.167441070079803467e-02
4.780000000000000000e+02,1.910982578992843628e-01
5.010000000000000000e+02,7.557822763919830322e-02
1.270000000000000000e+02,5.056789517402648926e-01
1.990000000000000000e+02,1.065257638692855835e-01
2.990000000000000000e+02,5.383151173591613770e-01
1.620000000000000000e+02,1.167601272463798523e-01
2.350000000000000000e+02,7.441493868827819824e-02
2.300000000000000000e+01,8.324207365512847900e-02
4.730000000000000000e+02,1.167601272463798523e-01
4.870000000000000000e+02,4.466794803738594055e-02
6.830000000000000000e+02,5.892819166183471680e-01
3.030000000000000000e+02,3.484721183776855469e-01
3.090000000000000000e+02,3.911638632416725159e-02
5.690000000000000000e+02,3.894827887415885925e-02
3.400000000000000000e+01,5.641909241676330566e-01
6.860000000000000000e+02,6.821701526641845703e-01
8.400000000000000000e+01,1.245259046554565430e-01
7.330000000000000000e+02,8.638079464435577393e-02
5.370000000000000000e+02,6.200187206268310547e-01
1.810000000000000000e+02,8.624447137117385864e-02
4.530000000000000000e+02,7.146545648574829102e-01
6.700000000000000000e+01,5.078352689743041992e-01
1.610000000000000000e+02,4.013202488422393799e-01
3.070000000000000000e+02,2.557242214679718018e-01
7.030000000000000000e+02,8.377990871667861938e-02
1.810000000000000000e+02,8.624447137117385864e-02
2.460000000000000000e+02,7.001211494207382202e-02
3.160000000000000000e+02,4.701593220233917236e-01
2.780000000000000000e+02,6.215759366750717163e-02
3.460000000000000000e+02,1.077403575181961060e-01
5.450000000000000000e+02,1.167601272463798523e-01
4.190000000000000000e+02,1.918285638093948364e-01
6.940000000000000000e+02,1.926491111516952515e-01
6.220000000000000000e+02,6.215759366750717163e-02
6.630000000000000000e+02,2.919097058475017548e-02
2.620000000000000000e+02,6.899824738502502441e-01
4.610000000000000000e+02,1.358740925788879395e-01
3.730000000000000000e+02,7.525098323822021484e-01
2.330000000000000000e+02,1.167601272463798523e-01
4.660000000000000000e+02,1.919594556093215942e-01
2.070000000000000000e+02,1.016343906521797180e-01
2.630000000000000000e+02,1.167601272463798523e-01
1.600000000000000000e+01,3.894827887415885925e-02
5.130000000000000000e+02,4.963604733347892761e-02
4.490000000000000000e+02,3.397382795810699463e-01
4.290000000000000000e+02,3.064177557826042175e-02
7.010000000000000000e+02,1.554584056138992310e-01
6.320000000000000000e+02,3.688488528132438660e-02
5.290000000000000000e+02,6.672199964523315430e-01
2.450000000000000000e+02,3.261512517929077148e-01
3.440000000000000000e+02,1.103652566671371460e-01
3.530000000000000000e+02,7.749902456998825073e-02
2.410000000000000000e+02,1.988602280616760254e-01
6.330000000000000000e+02,4.965681210160255432e-02
6.240000000000000000e+02,1.554584056138992310e-01
7.260000000000000000e+02,5.893644690513610840e-01
1.890000000000000000e+02,6.215759366750717163e-02
1.380000000000000000e+02,1.586047559976577759e-01
4.020000000000000000e+02,5.375561863183975220e-02
5.110000000000000000e+02,5.627954006195068359e-01
5.900000000000000000e+02,5.566285252571105957e-01
3.340000000000000000e+02,6.452558934688568115e-02
4.470000000000000000e+02,4.293768480420112610e-02
1.190000000000000000e+02,1.919594556093215942e-01
3.890000000000000000e+02,2.064185440540313721e-01
6.440000000000000000e+02,1.167601272463798523e-01
4.230000000000000000e+02,2.620830535888671875e-01
1.310000000000000000e+02,3.894827887415885925e-02
4.050000000000000000e+02,2.366545237600803375e-02
8.200000000000000000e+01,1.167601272463798523e-01
6.430000000000000000e+02,7.564213275909423828e-01
1.560000000000000000e+02,4.198725149035453796e-02
6.170000000000000000e+02,4.886516928672790527e-02
5.740000000000000000e+02,3.660825788974761963e-01
2.720000000000000000e+02,1.492922604084014893e-01
6.130000000000000000e+02,3.602570667862892151e-02
5.450000000000000000e+02,1.167601272463798523e-01
6.850000000000000000e+02,5.375561863183975220e-02
5.700000000000000000e+02,1.262092292308807373e-01
5.370000000000000000e+02,6.200187206268310547e-01
6.910000000000000000e+02,4.965681210160255432e-02
8.500000000000000000e+01,4.538732171058654785e-01
4.830000000000000000e+02,7.001211494207382202e-02
4.550000000000000000e+02,6.853910535573959351e-02
9.300000000000000000e+01,6.215759366750717163e-02
7.440000000000000000e+02,1.554584056138992310e-01
3.300000000000000000e+01,7.001211494207382202e-02
3.210000000000000000e+02,6.957983970642089844e-01
5.230000000000000000e+02,1.195735931396484375e-01
4.260000000000000000e+02,6.333164125680923462e-02
1.960000000000000000e+02,5.239090695977210999e-02
3.010000000000000000e+02,9.490652382373809814e-02
1.030000000000000000e+02,4.965681210160255432e-02
2.240000000000000000e+02,5.044124275445938110e-02
4.540000000000000000e+02,1.020822599530220032e-01
5.850000000000000000e+02,4.465254396200180054e-02
1.540000000000000000e+02,3.167430162429809570e-01
